week_date,time_idx,deaths,year,week_of_year,series_id,fear_score_weekly_mean,fear_score_weekly_mean_lag4w,feature_std,feature_lag_std
1710-04-14,1684,435.0,1710,16,London,0.6598654985427856,0.6577469706535339,0.09654394730911968,-0.09217993366061498
1710-04-21,1685,470.0,1710,17,London,0.6598654985427856,0.6577469706535339,0.09654394730911968,-0.09217993366061498
1710-04-28,1686,480.0,1710,18,London,0.6598654985427856,0.6577469706535339,0.09654394730911968,-0.09217993366061498
1710-05-05,1687,524.0,1710,19,London,0.6577469706535339,0.6598654985427856,-0.09345852097811004,0.09799995369181606
1710-05-12,1688,571.0,1710,20,London,0.6577469706535339,0.6598654985427856,-0.09345852097811004,0.09799995369181606
1710-05-19,1689,517.0,1710,21,London,0.6577469706535339,0.6598654985427856,-0.09345852097811004,0.09799995369181606
1710-05-26,1690,502.0,1710,22,London,0.6577469706535339,0.6598654985427856,-0.09345852097811004,0.09799995369181606
1710-06-02,1691,503.0,1710,23,London,0.6577469706535339,0.6577469706535339,-0.09345852097811004,-0.09217993366061498
1710-06-09,1692,550.0,1710,24,London,0.6577469706535339,0.6577469706535339,-0.09345852097811004,-0.09217993366061498
1710-06-16,1693,508.0,1710,25,London,0.6577469706535339,0.6577469706535339,-0.09345852097811004,-0.09217993366061498
1710-06-23,1694,509.0,1710,26,London,0.6577469706535339,0.6577469706535339,-0.09345852097811004,-0.09217993366061498
1710-06-30,1695,574.0,1710,27,London,0.6577469706535339,0.6577469706535339,-0.09345852097811004,-0.09217993366061498
1710-07-07,1696,503.0,1710,28,London,0.6577469706535339,0.6577469706535339,-0.09345852097811004,-0.09217993366061498
1710-07-14,1697,482.0,1710,29,London,0.6577469706535339,0.6577469706535339,-0.09345852097811004,-0.09217993366061498
1710-07-21,1698,467.0,1710,30,London,0.6577469706535339,0.6577469706535339,-0.09345852097811004,-0.09217993366061498
1710-07-28,1699,509.0,1710,31,London,0.6577469706535339,0.6577469706535339,-0.09345852097811004,-0.09217993366061498
1710-08-04,1700,562.0,1710,32,London,0.6577469706535339,0.6577469706535339,-0.09345852097811004,-0.09217993366061498
1710-08-11,1701,444.0,1710,33,London,0.6577469706535339,0.6577469706535339,-0.09345852097811004,-0.09217993366061498
1710-08-18,1702,463.0,1710,34,London,0.6577469706535339,0.6577469706535339,-0.09345852097811004,-0.09217993366061498
1710-08-25,1703,459.0,1710,35,London,0.6466493010520935,0.6577469706535339,-1.08876503887088,-0.09217993366061498
1710-09-01,1704,463.0,1710,36,London,0.6466493010520935,0.6577469706535339,-1.08876503887088,-0.09217993366061498
1710-09-08,1705,495.0,1710,37,London,0.6466493010520935,0.6577469706535339,-1.08876503887088,-0.09217993366061498
1710-09-15,1706,414.0,1710,38,London,0.6466493010520935,0.6577469706535339,-1.08876503887088,-0.09217993366061498
1710-09-22,1707,520.0,1710,39,London,0.6577469706535339,0.6466493010520935,-0.09345852097811004,-1.0884158413322924
1710-09-29,1708,548.0,1710,40,London,0.6577469706535339,0.6466493010520935,-0.09345852097811004,-1.0884158413322924
1710-10-06,1709,456.0,1710,41,London,0.6577469706535339,0.6466493010520935,-0.09345852097811004,-1.0884158413322924
1710-10-13,1710,469.0,1710,42,London,0.6577469706535339,0.6466493010520935,-0.09345852097811004,-1.0884158413322924
1710-10-20,1711,480.0,1710,43,London,0.6577469706535339,0.6577469706535339,-0.09345852097811004,-0.09217993366061498
1710-10-27,1712,477.0,1710,44,London,0.6577469706535339,0.6577469706535339,-0.09345852097811004,-0.09217993366061498
1710-11-03,1713,470.0,1710,45,London,0.6577469706535339,0.6577469706535339,-0.09345852097811004,-0.09217993366061498
1710-11-10,1714,421.0,1710,46,London,0.6577469706535339,0.6577469706535339,-0.09345852097811004,-0.09217993366061498
1710-11-17,1715,425.0,1710,47,London,0.6577469706535339,0.6577469706535339,-0.09345852097811004,-0.09217993366061498
1710-11-24,1716,390.0,1710,48,London,0.6314913034439087,0.6577469706535339,-2.44822647171721,-0.09217993366061498
1710-12-01,1717,345.0,1710,49,London,0.6314913034439087,0.6577469706535339,-2.44822647171721,-0.09217993366061498
1710-12-08,1718,408.0,1710,50,London,0.6314913034439087,0.6577469706535339,-2.44822647171721,-0.09217993366061498
1710-12-15,1719,311.0,1710,51,London,0.6314913034439087,0.6577469706535339,-2.44822647171721,-0.09217993366061498
1710-12-22,1720,368.0,1710,52,London,0.6577469706535339,0.6314913034439087,-0.09345852097811004,-2.4491467017748376
1710-12-29,1721,374.0,1711,1,London,0.6577469706535339,0.6314913034439087,-0.09345852097811004,-2.4491467017748376
1711-01-05,1722,365.0,1711,2,London,0.6459078788757324,0.6314913034439087,-1.155260289778931,-2.4491467017748376
1711-01-12,1723,375.0,1711,3,London,0.6459078788757324,0.6314913034439087,-1.155260289778931,-2.4491467017748376
1711-01-19,1724,383.0,1711,4,London,0.6459078788757324,0.6577469706535339,-1.155260289778931,-0.09217993366061498
1711-01-26,1725,432.0,1711,5,London,0.6459078788757324,0.6577469706535339,-1.155260289778931,-0.09217993366061498
